tx	gene_id	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENST00000624081	ENSG00000279493	131.435	201.515	116.577	94.346	117.263	346.445
ENST00000612610	ENSG00000277117	360.799	801.77	317.063	299.033	533.556	448.302
ENST00000620481	ENSG00000277117	197.542	417.293	244.189	152.37	290.863	120.184
ENST00000623960	ENSG00000277117	1099.365	940.3	1175.346	1054.205	646.815	887.356
ENST00000623903	ENSG00000277117	618.751	352.109	232.414	296.761	544.31	236.844
ENST00000623795	ENSG00000277117	351.652	470.159	687.33	1261.173	652.421	407.201
ENST00000624810	ENSG00000280071	140.518	108.498	121.268	144.943	115.182	141.303
ENST00000625036	ENSG00000280071	58.791	206.087	104.289	202.495	94	104.975
ENST00000620015	ENSG00000280071	188.63	417.95	577.405	102.539	386.079	399.957
ENST00000620528	ENSG00000280071	591.144	927.027	313.027	724.925	499.786	617.297
ENST00000624120	ENSG00000280071	177.674	193.173	289.036	562.696	419.947	440.544
ENST00000624748	ENSG00000280071	232.299	172.758	163.763	188.267	171.502	217.277
ENST00000624648	ENSG00000280071	193.665	121.561	325.675	122.242	345.686	189.815
ENST00000623810	ENSG00000280071	228.191	510.611	222.153	68.679	185.203	373.603
ENST00000624714	ENSG00000280071	367.406	301.694	422.009	245.875	198.766	469.5
ENST00000623390	ENSG00000280071	113.699	124.986	83.852	121.806	139.456	112.847
ENST00000622915	ENSG00000280071	264.317	442.77	556.166	457.781	337.313	352.78
ENST00000623476	ENSG00000276612	282.573	322.539	506.699	266.174	609.246	709.751
ENST00000617716	ENSG00000275464	1426.538	854.684	1213.397	1158.034	1941.88	944.891
ENST00000632537	ENSG00000275464	219.053	175.492	108.464	430.686	213.734	177.921
ENST00000623011	ENSG00000275464	1016.78	1183.288	820.721	749.975	846.319	2726.697
ENST00000624312	ENSG00000275464	198.668	128.578	251.143	181.874	250.521	133.871
ENST00000633442	ENSG00000275464	124.773	93	231.635	186.714	139.332	124
ENST00000633593	ENSG00000275464	152.454	76	254.071	151.893	76.279	254
ENST00000634020	ENSG00000275464	148.441	91.279	97.185	130.903	140.605	139.678
ENST00000634021	ENSG00000275464	264.882	199.21	150.664	98.12	139.875	134.498
ENST00000623998	ENSG00000280433	626.319	869.162	2222.985	1650.475	2170.553	808.066
