tx	gene_id	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENST00000624081	ENSG00000279493	579.969544	878.82485	516.532158	393.737893	488.275096	1418.496643
ENST00000612610	ENSG00000277117	459.144287	1008.606164	405.169452	360.01063	640.759238	529.304995
ENST00000620481	ENSG00000277117	405.056873	845.791006	502.786593	295.554526	562.819132	228.647248
ENST00000623960	ENSG00000277117	421.935121	356.766511	452.982979	382.804869	234.273173	315.966243
ENST00000623903	ENSG00000277117	960.043331	540.048376	362.111413	435.595414	796.984543	340.951287
ENST00000623795	ENSG00000277117	205.29606	271.344178	402.943568	696.598722	359.44497	220.555915
ENST00000624810	ENSG00000280071	1012.809363	772.757755	877.64405	987.814865	783.378837	945.125242
ENST00000625036	ENSG00000280071	999.601714	3460.695064	1780.442409	3253.130117	1507.721487	1657.039897
ENST00000620015	ENSG00000280071	184.745679	404.653825	567.873292	95.01151	356.839485	363.431737
ENST00000620528	ENSG00000280071	493.583431	765.17431	262.457572	572.651831	393.809931	478.196585
ENST00000624120	ENSG00000280071	318.216565	341.994557	519.823193	953.378389	709.775428	732.062434
ENST00000624748	ENSG00000280071	621.190162	456.628539	439.736475	476.221071	432.779739	539.09216
ENST00000624648	ENSG00000280071	503.945252	312.664856	850.97609	300.892777	848.859811	458.284433
ENST00000623810	ENSG00000280071	498.740768	1103.135521	487.563584	141.996174	381.986695	757.622152
ENST00000624714	ENSG00000280071	765.53206	621.367849	882.95951	484.632313	390.826413	907.644703
ENST00000623390	ENSG00000280071	653.191102	709.593834	483.705741	661.746291	756.00015	601.580035
ENST00000622915	ENSG00000280071	1043.352676	1727.424751	2204.474034	1709.119967	1256.472141	1292.1244
ENST00000623476	ENSG00000276612	243.108995	274.316957	437.753171	216.653285	494.648838	566.527937
ENST00000617716	ENSG00000275464	549.320494	325.358087	469.19952	421.902551	705.672653	337.569419
ENST00000632537	ENSG00000275464	550.269072	435.749828	273.598532	1023.411931	506.667133	414.690773
ENST00000623011	ENSG00000275464	273.547947	314.712402	221.725089	190.900223	214.872122	680.581808
ENST00000624312	ENSG00000275464	771.101845	493.249477	978.810416	667.676132	917.573053	482.128158
ENST00000633442	ENSG00000275464	544.364885	401.008923	1014.761049	770.43622	573.624912	501.98401
ENST00000633593	ENSG00000275464	1022.631212	503.771042	1711.255783	963.425263	482.810868	1581.060645
ENST00000634020	ENSG00000275464	557.506701	338.833115	366.515374	465.00967	498.322846	486.760656
ENST00000634021	ENSG00000275464	1063.672519	790.641006	607.51463	372.665567	530.040253	501.14686
ENST00000623998	ENSG00000280433	214.808272	294.694093	765.604888	535.568191	702.530193	257.122921
ENST00000623744	ENSG00000280433	226.628046	327.82138	430.340112	320.832035	295.457139	429.305389
