UniqueCount	AmbigCount
0	641
0	2347
7	1282
92	5958
58	1745
0	4169
44	885
74	193
20	3428
0	4711
0	2100
74	447
0	1968
1	1642
84	2123
101	198
171	320
116	3416
41	2976
3	531
368	4419
28	290
124	0
254	0
77	192
88	151
117	4989
0	5438
414	0
300	3342
95	256
39	8249
0	10264
0	10669
0	9330
0	10697
0	8305
161	400
1	1245
51	1498
33	1760
0	3094
122	3763
0	3234
0	3578
0	3503
41	2984
159	6788
0	2391
0	1411
101	101
124	3142
0	609
12	1938
8	581
0	1214
0	1277
344	0
0	2120
0	869
0	1445
9	1140
144	832
0	955
528	687
389	629
177	1188
285	559
1	4678
0	4635
0	1124
29	521
412	3133
80	567
145	3210
51	2973
51	2642
320	591
132	591
67	1299
0	1372
43	1251
0	204
3	1514
35	264
28	1199
173	118
1	1481
39	512
692	125
123	125
47	2675
37	3775
0	4309
246	4779
69	3832
0	4306
557	12
0	60
555	426
256	531
79	0
81	0
48	7833
43	7796
143	7823
160	585
48	357
282	19
134	19
78	6517
67	3514
116	7792
80	7952
0	1223
22	883
301	22
12	561
0	871
728	1208
1256	1193
40	753
121	3
132	434
303	1077
121	912
148	951
92	268
131	9
165	143
220	75
773	1013
46	1012
39	759
59	631
138	279
400	0
199	5226
0	4826
0	4860
0	5260
123	5143
42	3727
1	4731
665	219
327	219
223	55
949	2928
77	438
0	2928
41	283
97	8
531	13083
2030	13083
394	7948
166	1482
1	3150
27	2758
137	783
340	3
26	72
128	44
194	315
43	920
61	983
40	910
44	939
54	1033
423	1102
129	318
237	3442
46	3474
127	332
0	9177
30	7825
0	8385
0	8904
38	8059
92	7205
0	7364
130	896
96	6217
124	3799
126	289
168	637
166	2430
61	849
64	0
224	15
224	0
664	175
37	175
373	1689
516	1356
0	518
9	433
29	415
35	259
4075	0
0	4072
120	3821
134	940
0	7685
0	7746
2	7746
62	155
111	241
102	2795
194	1402
536	2890
10	2868
138	2521
89	2956
5	707
8	709
44	242
34	2580
0	2738
48	2666
336	2562
97	184
562	467
104	196
46	2249
134	790
53	2601
19	2747
33	2604
168	86
98	72
42	1016
73	735
106	818
205	121
546	1173
0	619
79	624
0	5578
52	5905
63	5682
150	5605
0	5359
141	5324
34	4692
145	1500
217	5197
7	1926
44	1796
109	231
97	2288
136	25
208	26
62	26
278	55
11	3979
59	3979
65	0
12	1008
18	989
109	795
228	538
76	352
224	160
0	6099
0	6043
0	6290
0	6544
25	5684
0	6540
0	6349
23	3275
214	0
558	0
396	0
111	0
214	0
410	0
63	0
156	0
270	0
126	0
286	0
160	0
194	0
114	0
235	0
186	0
276	0
59	0
132	0
79	0
382	0
112	0
80	0
90	0
65	0
40	0
230	0
98	0
114	0
264	0
108	0
150	0
432	0
219	0
95	0
161	5369
271	76
98	5335
85	2876
239	160
311	943
54	813
603	5868
273	5665
1623	381
4404	5605
0	5324
42	4994
35	4595
464	2188
209	27
180	1433
4179	454
36	152
128	281
438	148
423	4
217	4
62	848
70	770
43	814
77	5
2810	620
78	17
247	0
158	1694
167	259
0	4280
0	2937
1	3549
325	2545
6	3220
51	3313
84	32
83	733
343	3118
130	338
19	1535
958	582
175	261
34	452
25	394
104	902
89	974
75	0
61	1137
2	2682
70	1627
139	750
47	920
52	1304
66	708
55	13946
0	13530
0	7089
0	13188
0	14026
4	9133
33	415
576	21
74	657
0	3749
10	864
21	5399
919	3463
28	4476
580	2367
47	3322
170	0
55	47
7	1769
147	1648
72	1033
26	996
78	828
60	884
66	1132
50	74
190	1198
370	448
36	447
31	184
0	2511
553	4881
0	4816
72	170
49	4102
57	1815
0	1313
0	1652
63	1099
0	660
53	5840
57	1395
78	783
150	2386
20	827
95	2165
42	392
211	1086
459	1212
93	1212
90	0
1421	306
40	306
131	1678
295	658
22	1752
55	890
48	1724
218	0
88	60
90	2026
33	32
116	98
30	1875
24	365
277	690
124	0
133	85
107	22
202	1871
44	1601
0	1862
205	1576
7	6316
94	6284
37	6330
132	6059
111	0
236	0
124	55
202	588
367	3374
365	635
172	46
25	692
99	2111
86	1977
81	1588
464	3
96	952
280	839
107	14014
107	81
80	3859
222	10744
29	14290
473	10037
61	66
0	9417
87	1517
307	7
241	3
0	1248
61	989
0	904
0	1038
41	1664
95	2980
0	1963
56	823
0	1933
142	0
121	2502
41	3364
74	3554
1	4129
50	2918
30	1460
102	1912
0	2987
57	2730
22	2149
91	562
95	184
172	649
7	3035
0	2369
100	809
60	2777
133	2114
121	222
157	647
226	409
0	597
190	3026
0	2331
107	3193
40	1188
36	265
68	36
66	1085
11	1049
156	71
16	746
104	882
220	171
111	0
184	0
39	14407
351	1098
75	704
2884	18131
0	16326
105	16357
0	17835
0	16691
0	13668
0	15370
191	464
47	3013
0	10898
219	0
111	9470
213	1533
178	104
103	1451
24	1350
110	0
75	711
161	80
1	127
0	1418
47	1355
0	2022
0	1307
22	578
0	1911
80	964
148	131
74	389
124	391
401	864
111	918
84	94
69	138
72	63
148	117
42	448
56	0
102	274
14	1290
87	1238
73	1325
1434	2245
69	2238
6946	0
252	0
6	2133
0	875
4	1447
15	902
0	979
0	1140
0	489
2	5441
0	5402
47	5071
4	5522
0	5357
26	1451
2	860
47	840
441	94
54	0
22	7221
0	7493
0	7399
178	7185
84	7508
71	7319
106	7182
18	7174
0	7357
77	7249
22	884
1027	355
142	68
176	3006
47	3006
0	7631
24	6984
190	7047
75	2217
82	1972
77	150
45	1981
483	1
48	1020
47	0
79	331
335	96
99	110
112	0
81	0
973	0
57	95
283	5689
58	4190
70	5797
41	5488
294	2575
173	466
9	2957
50	2761
42	2879
59	2698
6	1957
2	1839
89	993
24	1126
7	360
357	0
122	208
11	633
159	994
59	905
413	562
73	623
526	0
112	244
1956	1036
41	176
600	616
420	618
0	4815
45	4630
75	0
356	103
181	143
62	1320
284	1196
42	1315
54	736
291	1026
119	795
1800	473
286	449
170	24
36	1419
154	1662
61	1659
8	1511
35	1511
145	0
711	689
547	1863
438	1862
19	1057
494	0
36	5291
35	5290
225	4859
118	273
110	401
70	375
176	270
24	1358
14	1285
87	1358
1788	3274
28	3482
57	682
32	1093
10	1099
146	1018
156	150
162	262
10	1978
100	12688
119	12316
0	8199
65	12021
0	20322
61	2034
69	4712
125	1900
25	7351
250	1799
373	20631
343	1086
0	21148
75	20278
116	269
111	0
295	17832
53	1552
108	1581
99	1697
92	4443
52	1342
41	1459
72	714
626	1273
0	2398
270	2051
40	628
60	745
57	826
49	626
199	0
32	331
115	338
119	33
171	759
84	759
155	9838
237	11226
166	16018
45	12667
0	12415
107	15938
60	12399
28	811
0	2007
11	12746
0	18198
3957	17802
69	40
23	6247
7	8428
110	6285
161	6545
8	8072
183	765
764	706
119	3772
11	3575
23	7581
2499	1819
3036	2207
204	2207
184	0
46	476
48	713
26	594
58	440
11	216
2	144
40	129
13	7177
207	6552
75	404
1	1435
1679	6794
156	197
230	192
25	6174
224	5940
40	2254
0	6728
12	6886
38	1353
63	784
0	13488
0	13197
4	13869
44	12417
0	13982
0	14424
0	13757
0	14117
53	4628
87	5678
66	2371
88	2369
2	3081
237	3008
28	1145
584	2
95	2910
59	2912
134	365
37	673
5726	13739
286	5124
1159	9430
519	8305
1478	8632
586	10295
69	6795
2015	10526
63	10553
84	355
43	1162
71	470
134	3145
115	3372
66	3401
18	3342
53	3693
67	0
1100	708
193	476
258	0
15	3044
928	4863
46	3565
71	3139
42	4118
40	2682
77	1918
36	1956
70	1776
55	1627
72	1209
60	1504
34	506
102	1197
170	326
3	571
72	927
19	594
90	211
73	403
26	1773
107	3032
94	3228
57	3974
0	3974
216	1469
77	2447
601	2847
97	270
0	342
38	2384
50	1319
29	3327
97	0
366	415
28	3559
23	2137
239	1822
113	591
122	477
66	222
707	137
2	431
80	38
120	2500
101	3082
0	3530
24	4440
0	4606
36	1231
158	139
241	2965
106	1338
30	806
176	217
35	1707
133	547
68	1452
55	624
103	660
0	1327
71	578
120	798
133	696
42	772
55	625
185	0
32	2080
10	1736
68	791
145	706
42	1344
87	2095
4	1361
69	8
52	416
6501	3804
236	0
41	3804
96	3804
37	3804
4	3570
570	914
169	781
349	133
143	426
115	347
65	400
63	316
460	3672
5	3672
36	3191
0	4231
118	3458
1557	3373
257	189
43	1243
51	902
38	3234
15	1521
54	1528
82	0
795	1118
263	333
42	1491
157	1491
31	1159
40	1492
429	3637
71	584
164	566
96	12
972	12
227	1
50	590
707	3049
67	1058
289	220
12	469
652	87
273	1478
76	525
297	97
118	5227
30	995
76	216
83	4249
16	4692
31	1242
33	69
12	1171
0	643
1117	71
50	0
311	3667
62	2995
256	0
180	295
211	67
27	2823
24	2783
57	169
0	1859
57	1742
93	40
96	414
1024	0
2	56
100	129
52	64
131	2396
78	2396
79	4952
1380	6235
19	13109
65	15104
121	14008
79	14888
0	15458
0	14104
0	13107
0	11319
167	303
57	489
56	1318
79	261
161	1077
47	515
11	5871
5	8275
176	8216
201	5508
42	6646
449	2069
148	848
107	0
52	5558
0	6120
41	5180
37	5092
108	386
144	205
82	6
109	84
0	10630
312	10214
0	10479
0	10063
83	2328
56	2264
114	1406
99	1754
113	2346
75	2041
182	355
30	256
27	4504
92	173
176	7872
127	7870
41	7830
38	988
0	8026
0	7821
82	7830
174	6942
104	6398
54	800
442	1625
408	355
13	403
19	403
119	191
182	350
51	294
139	296
132	0
16	5063
0	5163
509	5218
275	2736
24	4376
79	4641
210	4629
54	2341
58	140
26	1097
9	3587
104	507
192	3303
108	543
160	815
266	3453
63	3019
281	3258
376	404
31	523
13	352
432	2
220	179
44	2048
201	0
117	180
183	1983
289	39
210	0
131	70
172	981
34	345
16	11937
90	12025
65	12362
44	11923
427	139
36	11552
27	10232
27	12025
40	11506
17	11718
12	11659
26	11281
28	12053
36	11310
0	12238
41	11436
41	11197
34	11221
30	10254
41	11497
18	11245
38	11622
52	2589
51	10428
877	8576
206	99
56	1741
176	2584
9	2748
17	2538
18	827
12	664
299	505
190	736
29	740
1402	6
18	397
4	3935
107	3873
62	133
354	366
205	0
0	1879
141	461
46	406
108	102
190	35
29	732
55	8256
0	10262
0	10799
0	9328
11	10710
0	1127
153	1916
549	2133
0	1231
82	1876
92	933
463	9
171	2245
48	2008
34	1513
161	1281
261	0
0	3438
73	3371
215	3763
0	3520
40	7010
9	2916
24	3239
0	3578
19	1392
448	3142
0	609
15	1938
205	1758
8	581
35	1282
0	1805
523	3342
74	1
69	505
108	152
16	352
439	469
73	469
331	2098
196	2098
28	2252
62	5910
0	6808
251	977
108	1
74	202
123	0
134	1488
329	2332
25	248
112	1596
11	1152
0	2174
25	1228
40	6392
21	1901
56	1758
87	1051
212	123
8	2802
112	2810
84	3289
739	3267
126	404
93	4224
90	700
188	339
188	0
121	3980
16	3500
40	8002
128	0
