UniqueCount	AmbigCount
0	295
0	3022
12	1534
109	6339
108	2314
0	4179
47	637
41	153
7	2259
0	3183
0	1366
93	352
0	1443
1	1234
88	1494
102	156
133	185
44	2252
80	3171
5	588
131	2521
39	246
124	4
151	4
77	278
174	211
83	3687
0	3575
262	0
373	3992
157	360
81	8387
0	9964
0	10217
0	8706
0	10275
0	7533
100	313
0	977
25	1309
33	1347
0	3880
216	4458
0	3818
0	4195
0	4117
21	3592
94	6623
0	2901
0	1764
130	115
272	2250
0	587
15	1821
21	808
0	1055
0	1189
172	0
0	2121
0	1412
0	1521
13	1429
153	1369
0	984
295	665
160	263
78	727
325	464
0	4963
0	4943
0	1110
32	578
245	2233
44	374
87	2286
62	2127
48	1906
221	511
182	511
109	1265
0	1297
14	1144
0	266
5	3657
58	563
61	2956
167	180
3	3573
50	1114
1146	174
155	174
20	1392
20	1930
0	2196
105	2413
45	2064
0	2196
334	5
0	134
251	197
109	244
59	0
108	0
46	8598
29	8508
157	8594
58	517
33	291
210	33
323	34
57	5127
50	2691
99	6205
42	6278
0	910
11	637
373	17
38	653
0	520
901	999
2324	986
69	679
72	0
43	282
87	781
142	1087
187	1121
109	302
96	11
120	116
148	72
1521	1649
52	1649
92	1247
121	1060
131	478
239	2
204	5293
0	4677
0	4780
0	5396
186	5238
50	3839
1	4607
1331	198
245	198
92	26
2113	5240
28	441
0	5240
60	469
113	23
28	754
73	754
95	513
182	1197
3	2634
56	2362
106	599
340	2
47	68
243	56
69	222
27	821
17	838
53	822
70	851
177	979
123	1008
181	215
295	4064
52	4118
230	426
0	7099
12	6047
0	6569
11	6980
35	6338
65	5485
0	5398
167	726
59	4694
138	2903
52	214
66	434
91	1850
73	635
64	0
193	14
112	0
748	222
65	222
1279	3616
838	2896
0	846
15	792
48	715
19	305
5434	0
0	4195
44	3915
60	840
0	8730
0	8797
3	8797
105	211
72	251
219	3374
319	1819
359	2110
12	2136
99	1864
59	2239
6	724
4	777
74	236
85	3690
0	3880
61	3754
361	3562
93	257
332	584
165	326
66	2832
447	1179
69	3263
28	3516
22	3251
235	78
83	63
59	1244
182	947
84	994
194	155
235	724
0	327
90	488
0	4439
39	4749
54	4546
67	4386
0	4250
137	4301
16	3712
43	1094
225	4193
6	1511
46	1367
103	201
61	1719
52	19
123	19
84	19
120	33
20	3995
52	3995
58	0
33	1225
26	1200
53	864
167	424
69	257
433	128
0	7080
0	7080
0	7354
0	7701
22	6424
0	7480
0	7307
21	3764
214	0
496	0
594	0
133	0
286	0
123	0
56	0
520	0
337	0
316	0
286	0
402	0
388	0
102	0
314	0
74	0
138	0
118	0
118	0
105	0
229	0
84	0
71	0
135	0
65	0
40	0
92	0
73	0
45	0
158	0
360	0
167	0
432	0
219	0
142	0
153	7502
134	82
196	7455
86	3912
352	222
284	1258
78	1196
141	1069
93	1037
166	70
331	1013
0	4440
60	4145
62	4027
604	2108
211	14
134	1065
1688	250
61	100
130	143
180	70
375	2
110	2
41	685
47	625
26	668
254	12
4677	551
113	28
247	0
396	2187
151	276
0	4853
0	3113
0	3778
257	2761
3	3563
55	3773
82	49
127	931
339	3366
62	312
48	1625
517	480
333	233
29	378
30	336
160	932
31	1031
100	0
110	1244
2	3033
82	1851
93	810
86	1155
177	1614
98	741
32	11342
0	11033
0	5608
0	10767
0	11452
1	7566
26	328
289	25
41	535
0	3241
8	820
17	4637
407	2150
37	4042
279	1585
112	3462
113	0
58	44
6	2182
255	2025
57	1130
74	1087
55	877
52	934
54	1267
90	103
206	1360
972	761
81	759
14	183
0	2456
284	3934
0	3834
77	252
67	3340
62	1764
0	1302
0	1561
42	1010
0	680
53	5070
86	1321
79	734
58	1979
33	656
249	1866
42	339
177	867
248	476
29	476
60	0
1609	302
40	302
217	2068
221	671
43	2164
36	1027
43	2119
261	0
137	106
110	1835
105	113
151	127
18	1538
47	312
145	488
310	0
134	50
108	10
179	1941
46	1587
0	1931
133	1565
8	5007
77	4992
64	5026
75	4831
222	1
283	0
56	38
106	404
140	2602
