UniqueCount	AmbigCount
0	350
0	2353
11	1321
67	4834
103	1781
0	3346
39	705
70	137
20	3395
0	4495
0	1924
59	365
2	1587
0	1368
38	1710
127	138
176	300
102	3391
109	3845
5	892
120	2264
61	251
139	3
76	3
73	261
88	208
335	4381
0	4491
303	0
600	3709
140	289
71	7426
0	8660
0	9029
0	8081
0	9076
0	7109
152	227
0	918
53	1201
36	1386
0	3316
222	3959
0	3383
1	3754
0	3673
42	3177
127	6556
0	2682
0	1690
108	102
268	2321
0	697
8	1680
12	857
0	1083
0	1297
172	0
0	1651
0	1243
0	1177
10	1113
184	1265
0	829
212	511
203	251
55	653
312	402
1	5147
0	5126
0	1194
37	739
388	2853
101	581
56	2941
54	2698
73	2373
272	645
227	645
79	1072
0	1116
30	1045
0	184
2	1588
95	307
40	1227
123	109
4	1547
30	423
1370	243
194	243
23	2951
37	4213
0	4850
234	5192
79	4293
0	4849
224	8
0	83
171	323
269	425
99	0
121	0
27	5559
52	5626
45	5546
77	476
110	387
128	13
165	13
61	4641
70	2696
59	5448
79	5586
0	1056
28	825
226	20
14	422
0	536
703	947
2346	852
49	559
48	0
64	247
101	689
117	1062
194	1104
114	324
102	16
111	121
119	55
1280	1712
121	1709
98	1110
58	929
129	440
180	0
98	4406
0	4349
0	4441
0	4498
143	4356
25	3004
2	4282
2228	313
310	313
241	53
1067	4544
32	396
0	4544
60	441
55	15
468	7018
667	7018
270	4369
119	1173
3	2901
43	2626
192	684
566	8
34	69
247	65
50	260
39	939
27	971
82	940
84	974
121	1096
200	1124
226	260
329	3768
45	3810
222	423
0	8765
11	7439
0	8222
10	8724
64	7856
123	6829
0	6597
274	1044
89	5680
90	3315
61	211
97	492
156	2337
42	731
216	0
113	13
89	0
667	204
49	204
581	2910
1135	2538
0	873
11	627
39	592
51	364
2445	0
0	3198
54	2958
107	779
0	7891
0	7951
0	7951
66	174
68	241
102	2749
203	1386
461	1873
11	1888
54	1584
42	1991
9	905
5	928
102	235
78	3741
0	3935
45	3808
467	3614
176	298
695	628
138	242
58	2099
436	858
21	2362
11	2550
23	2362
101	61
132	79
95	987
138	708
101	740
131	104
245	945
0	482
106	593
0	4837
69	5407
86	5130
38	4785
0	4593
120	4850
26	4088
39	1446
132	4750
17	2041
82	1834
101	287
104	2094
75	19
153	18
72	19
108	36
21	3445
37	3445
78	0
31	1008
13	999
103	804
91	471
179	359
258	156
0	6307
0	6237
0	6583
0	6669
34	5905
0	6863
0	6586
15	3312
716	0
620	0
445	0
111	0
322	0
307	0
37	0
312	0
450	0
126	0
239	0
160	0
232	0
91	0
314	0
111	0
82	0
99	0
79	0
176	0
152	0
56	0
133	0
135	0
82	0
53	0
230	0
98	0
76	0
198	0
180	0
250	0
129	0
328	0
76	0
99	4683
127	62
87	4647
155	2784
472	187
323	784
32	576
225	3288
220	3213
1433	186
2268	3161
0	3949
50	3718
69	3514
319	1665
140	11
78	932
1260	235
34	81
125	141
271	69
564	2
88	2
119	754
41	662
27	741
102	5
3131	545
126	24
198	0
201	1692
200	333
0	4477
0	2894
0	3797
245	2671
1	3122
82	3548
129	36
108	896
760	3387
140	405
44	1556
641	598
248	294
37	496
20	424
106	830
99	994
75	0
70	1138
1	2125
73	1572
41	391
56	865
65	843
66	703
32	12014
0	12273
0	5814
0	12079
0	12144
4	8271
59	478
256	17
41	602
0	3756
16	777
9	3942
973	2406
20	3213
199	1461
48	2445
85	0
64	58
17	1473
72	1305
80	1080
32	1048
53	843
149	949
44	1638
88	126
376	1750
725	820
109	819
37	268
0	2774
709	4539
0	4403
48	200
44	3629
43	1904
0	1373
0	1829
56	1093
0	759
91	5220
74	1246
62	647
53	1706
35	670
100	1587
31	370
90	742
365	698
26	698
90	0
1775	219
24	219
408	1881
306	653
15	1940
39	912
16	1898
436	0
163	134
104	1747
106	113
80	116
13	1450
95	446
177	545
186	0
97	51
173	21
295	1960
34	1654
0	1947
146	1631
5	6007
61	5937
54	5984
107	5726
166	1
283	1
59	45
168	616
497	3198
103	601
192	32
59	636
89	1911
28	1741
61	1446
139	0
95	817
217	720
239	15048
203	120
81	4994
153	10788
9	15100
456	9936
57	88
0	10514
138	1731
410	5
108	3
0	1600
81	1207
0	1131
0	1315
8	1854
228	3657
0	2377
100	1139
0	2261
142	0
104	3133
74	3937
51	3950
1	4874
71	3276
24	1391
48	1977
0	3353
125	3439
50	2827
112	781
140	272
154	774
17	3523
0	2837
78	643
42	3176
104	2218
70	184
77	509
163	330
0	711
148	3854
0	3051
154	4062
150	1606
86	331
170	53
68	1353
12	1288
239	93
18	911
227	1082
119	207
148	0
220	0
19	12152
150	829
35	517
2897	14903
0	14789
33	12502
0	14541
0	14739
0	12503
0	13822
137	349
55	2510
0	9212
146	0
225	8357
165	1248
266	94
52	1239
63	1228
276	2
144	681
205	94
1	127
0	1310
32	1245
0	2050
0	1206
18	688
0	1946
65	557
113	98
47	232
72	316
1316	979
89	972
126	182
109	126
124	86
206	182
29	410
28	0
37	201
29	1079
93	1013
60	1114
858	1597
51	1590
3125	0
378	0
13	1661
0	1248
5	1181
23	756
0	839
0	1113
0	306
0	6286
0	6229
57	5892
5	6461
0	6207
49	1841
1	1260
55	1084
557	124
54	0
46	8045
0	8308
0	8168
349	8006
133	8337
72	8199
213	7995
10	7981
0	8121
82	8069
59	1161
739	463
209	78
136	2562
66	2562
0	10562
24	8959
254	8950
45	2466
39	2384
110	245
147	3634
805	1
109	1568
79	0
194	541
497	186
24	42
150	0
81	0
649	0
103	185
529	6955
86	5336
61	6934
40	6622
977	3624
89	576
6	2931
22	2724
28	2844
24	2641
3	1975
6	1846
98	996
34	1172
9	420
142	0
218	361
9	619
245	1062
56	968
310	540
64	590
421	0
78	165
1773	683
8	93
314	425
270	552
0	5383
28	5176
100	0
214	90
146	151
169	1701
203	1461
83	1692
70	891
214	1224
100	955
1088	284
175	257
167	27
42	2748
298	3301
130	3292
26	2889
94	2889
194	0
398	755
455	2297
1065	2295
37	1404
247	0
48	6263
31	6262
502	5890
202	325
90	393
65	362
73	252
24	2349
38	2210
210	2348
1185	2834
29	3000
45	521
16	811
8	812
108	760
125	124
108	191
23	2265
61	13575
49	13143
0	8894
77	12924
0	23407
54	2329
91	4919
227	2209
11	7654
356	2048
1282	23978
270	1414
0	24332
53	23255
255	358
146	2
292	20549
73	1548
144	1778
96	1984
152	5585
166	1599
23	1844
242	959
941	1938
0	3533
453	3017
60	897
63	1038
94	1220
55	972
249	0
68	442
60	443
157	35
138	447
39	447
191	10232
277	11784
92	16113
97	13380
0	13164
171	16061
23	13075
22	789
0	2078
9	13376
0	17936
4003	17583
96	54
94	7004
9	9015
159	7055
202	7121
14	8675
640	900
783	797
131	4047
3	3662
19	7586
742	1614
5091	1501
57	1501
138	0
48	537
51	835
21	662
42	550
13	280
5	152
136	244
9	7471
146	6689
51	504
7	1915
2598	7138
104	202
82	130
36	6430
83	5950
88	2776
0	7071
17	7151
54	1762
44	989
0	15856
0	15567
18	16160
29	14586
0	16442
0	16836
0	16251
0	16636
29	4617
40	5905
55	2562
37	2587
6	3474
348	3370
53	1308
731	6
147	2841
36	2844
206	413
40	680
3443	7268
1145	3940
341	4622
99	4039
460	4251
755	10493
89	7196
1039	10690
94	10706
49	283
89	1571
66	589
66	2850
103	3181
74	3272
32	3214
38	3427
101	0
456	437
207	268
129	0
14	2831
647	4304
29	3023
31	2641
84	3947
24	2136
114	1741
11	1547
138	1740
89	1417
89	1040
25	1337
16	479
192	1049
174	332
6	399
31	543
17	386
119	255
111	454
49	2039
40	2748
59	2967
25	3584
0	3584
88	1093
89	2795
297	2659
116	247
0	385
104	2407
22	1214
46	3089
97	0
221	402
26	3253
29	2222
162	1619
133	704
164	446
41	257
1186	149
3	483
82	38
82	2845
207	3529
0	4491
30	5479
0	5800
52	1534
159	186
376	3321
75	1460
57	980
116	207
18	1879
279	700
78	1671
37	743
335	861
0	1629
100	710
113	828
56	736
38	891
49	750
208	0
61	2505
13	1993
57	660
78	737
47	1579
212	2522
0	1394
61	8
104	579
3908	4495
394	0
98	4497
102	4497
34	4495
0	4212
233	463
94	409
137	54
53	332
102	286
74	319
99	274
582	5185
3	5185
69	4631
0	4381
85	3626
1731	3498
126	152
54	1253
67	883
36	3386
10	1566
44	1555
41	0
1287	1418
524	436
122	1791
43	1792
71	1369
35	1790
186	2507
47	353
80	340
123	17
1089	17
506	1
42	361
542	2146
27	613
149	103
24	521
1232	96
291	1069
52	377
161	53
51	4619
12	964
98	304
53	3701
20	4257
49	1552
56	67
31	1464
2	746
839	73
50	0
173	2902
117	2966
76	0
197	213
207	46
17	2992
21	2942
98	170
0	2138
158	2146
138	52
53	460
768	0
1	57
204	154
77	153
218	3840
102	3840
110	5360
1387	6828
13	13467
54	14899
91	13903
65	14674
0	15343
0	14099
0	13466
0	10856
64	301
92	532
29	1194
123	413
100	1056
23	437
4	4824
10	6655
183	6589
240	4244
21	5066
281	1553
110	652
64	0
54	7134
0	8046
32	7152
69	7054
75	467
75	206
109	12
124	104
0	8298
110	7964
0	8136
0	7802
78	1771
47	1766
207	1084
206	1429
85	1823
36	1492
149	237
27	373
63	4022
136	153
136	9928
50	9926
43	9893
46	1114
0	10137
0	10291
95	9893
575	9309
232	8630
50	1072
303	2070
258	305
7	380
51	380
57	147
89	332
77	299
62	270
132	0
18	4412
0	4468
247	4527
409	2289
25	3796
143	4040
114	4041
48	2145
29	127
16	878
6	3192
70	395
194	2988
164	445
113	638
99	3029
40	2685
577	3036
933	844
84	1072
18	644
577	0
138	105
54	2246
134	0
88	149
242	2244
207	41
189	0
226	103
153	1102
38	378
6	13230
91	13387
80	13922
47	13436
176	106
48	12822
19	11136
62	13540
164	12771
27	13049
49	13009
21	12521
37	13605
55	12540
0	13849
91	12784
39	12441
25	12457
30	11160
69	12776
13	12476
7	12925
35	2728
32	11418
618	9396
80	89
36	1446
79	2301
9	2306
26	2281
18	829
14	705
141	352
187	1335
59	1338
1401	11
38	722
7	4920
175	4836
50	163
298	354
256	0
0	1903
219	553
61	422
55	90
159	47
40	831
120	7423
0	8666
0	9093
0	8087
6	9096
0	986
255	1759
333	1890
0	932
156	1807
166	919
138	8
61	1658
21	1520
62	1263
168	1083
174	0
0	3302
46	3203
163	3959
0	3688
56	6793
15	3255
11	3391
0	3755
24	1681
124	2321
0	697
11	1681
80	1550
20	857
57	1305
0	1565
315	3709
75	0
23	342
113	105
28	355
343	387
80	387
288	2724
294	2724
107	3120
109	7688
1	8479
109	889
361	1
56	170
92	0
76	1365
231	3207
62	260
203	2260
53	1043
0	3013
10	1073
26	8049
57	1970
68	1767
129	1196
155	158
21	2497
60	2508
61	2843
428	2821
60	186
30	2138
48	329
347	340
150	0
42	2139
22	1773
57	10927
128	0
65	334
41	9721
18	9724
123	820
144	10787
134	10616
48	2597
106	1
66	567
57	2592
57	636
0	6156
117	4235
164	522
831	3075
70	430
385	686
36	6932
68	5147
47	103
147	88
301	5461
11	794
0	732
22	703
175	740
198	391
0	4515
73	3847
137	281
13	505
174	2099
18	892
120	572
4	4551
175	347
216	1092
113	2323
84	2028
0	1373
65	1715
0	3310
0	1586
589	453
75	301
95	1113
291	852
179	10
760	0
1	2029
1070	5291
606	4945
0	4302
103	279
148	918
0	1089
81	572
369	2482
422	1816
160	1804
107	1045
5	1535
4	6525
234	6566
69	1299
1260	8344
0	35
153	993
422	8640
0	6167
39	1354
0	4950
0	5591
69	1690
781	1572
95	790
69	1259
1121	1126
51	1666
0	1694
70	103
23	8526
18	421
51	8526
193	7360
45	7724
20	7672
27	2464
77	952
1408	0
0	3795
0	3795
57	2883
150	1955
218	0
686	23
47	23
291	0
143	395
291	339
183	39
517	0
549	14
369	33
263	0
311	158
76	32
98	126
286	95
742	0
120	0
123	0
222	0
105	0
314	0
170	0
402	3742
789	3186
20	1229
162	1243
165	694
36	873
193	310
155	442
407	211
36	256
51	0
544	0
165	1717
11	1879
75	1836
28	1773
233	2
139	125
76	2044
37	2495
91	2004
130	338
307	41
136	164
103	36
27	4812
9	7924
26	7926
132	6740
930	7686
61	7955
57	8434
26	7700
0	8395
101	810
0	2310
240	139
49	1127
90	1065
30	896
111	516
71	378
116	294
57	420
145	75
39	163
171	145
96	288
88	210
115	999
17	1158
41	322
159	792
93	343
121	29
604	181
0	11844
32	11264
0	11565
0	11846
87	7931
0	13061
12	1164
49	57
0	43
0	10784
0	12428
170	39
67	62
157	4870
576	5543
0	6000
0	5525
124	5216
0	4612
24	576
2	649
0	416
147	769
109	1268
51	898
9	760
186	557
95	8256
137	8623
241	8622
53	5487
68	388
106	1087
405	1648
1825	935
73	3104
388	0
18	1912
181	224
995	3711
127	2982
93	2695
27	902
0	923
318	0
315	112
435	1
100	3663
57	1
204	9
85	539
26	397
30	452
59	184
88	285
313	11
149	3243
7	3776
33	3425
0	2294
171	0
530	258
146	0
48	2918
0	1832
35	1014
50	465
72	3580
50	2993
195	0
300	0
121	604
16	2428
16	1217
442	3114
0	3670
142	533
17	3644
56	3406
73	0
244	132
114	432
31	106
123	680
111	2367
59	2717
64	2693
39	153
0	2887
65	2454
55	297
160	73
95	0
123	0
66	697
390	697
196	3868
72	1187
162	6389
128	275
28	6229
5	3546
25	3387
67	0
0	1601
37	1241
76	215
1	6776
57	3772
203	4846
632	4826
40	6776
4	671
126	221
156	8
211	133
71	1
2	803
0	605
35	262
0	1163
77	576
76	136
60	912
42	736
87	919
94	1685
59	1282
106	4148
0	4490
247	2763
55	3565
28	700
132	2249
183	2350
271	13025
114	1148
337	12826
45	821
33	668
47	479
57	710
184	0
40	9627
81	4846
72	4419
0	4839
64	9892
13	2985
179	3358
783	1111
826	1204
709	513
290	3828
50	3761
50	491
151	445
173	80
121	4367
51	3808
57	3796
0	4573
32	2395
214	4308
390	2352
0	2475
90	3945
76	2520
42	2135
16	2512
73	1185
75	620
78	182
989	1737
