gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000141956	PRDM15	8640.657094	9300.524603	9243.073489	7909.460688	7874.279877	8275.056621
ENSG00000141959	PFKL	5432.015051	5051.269822	5166.178459	5957.874452	25725.359053	5101.299726
ENSG00000142149	HUNK	1720.20115	2273.538299	2880.641479	2316.662552	1541.001745	2387.150514
ENSG00000142156	COL6A1	5180.768242	3546.994149	3545.257366	3179.487782	4999.319653	4253.053536
ENSG00000142166	IFNAR1	5219.502357	9917.706515	6399.645746	5050.899026	6143.049851	6539.921757
ENSG00000142168	SOD1	2969.097218	2561.594037	2544.504885	8626.361099	11578.153375	17309.786562
ENSG00000142173	COL6A2	5109.928439	5008.237649	4948.298953	4315.683431	4278.576076	5198.702801
ENSG00000142178	SIK1	7817.937288	9750.918028	5714.999275	6940.476678	5992.787201	6909.935408
ENSG00000142182	DNMT3L	1313.054676	2267.367284	2270.979259	1674.406702	1809.552212	1986.919572
ENSG00000142185	TRPM2	4267.342472	3620.96962	3951.619769	3312.730755	3208.358384	3443.386371
ENSG00000142188	TMEM50B	7109.739703	6757.807955	7244.68196	7058.467028	6720.31985	4483.754451
ENSG00000142192	APP	7816.635415	10465.031003	11761.496396	10458.218231	9645.467105	10432.52886
ENSG00000142197	DOP1B	2526.549941	2627.941105	3083.913755	1715.220268	1602.475633	2994.77032
ENSG00000142207	URB1	2130.420736	2135.15744	1606.938365	2267.984246	1735.738297	1591.116457
ENSG00000154639	CXADR	4536.755072	7525.03073	5672.827525	8363.652755	3307.418047	6970.025652
ENSG00000154640	BTG3	4013.802703	5022.765033	3411.961277	4139.129815	3700.95093	4343.798237
ENSG00000154642	C21orf91	3521.84865	3556.229781	3582.008396	3832.967219	2907.418796	2732.735277
ENSG00000154645	CHODL	3655.81986	3118.114341	3039.642011	3338.682221	2977.01061	3401.408531
ENSG00000154646	TMPRSS15	1862.264314	1966.680761	1447.111928	1521.611387	3210.096494	2643.520068
ENSG00000154654	NCAM2	4341.717655	3421.881139	4206.922269	4208.634602	3201.22198	3608.980441
ENSG00000154719	MRPL39	1369.677694	1163.570641	1801.206497	14480.8141	10715.921089	19441.98931
ENSG00000154721	JAM2	5013.174514	5316.85921	4816.612047	4415.222076	4815.798097	4102.598617
ENSG00000154723	ATP5PF	4468.47507	5537.953839	5126.399116	4586.988835	4771.146104	5275.207243
ENSG00000154727	GABPA	2055.495179	1490.005164	909.606142	785.250536	1851.511975	1385.041806
ENSG00000154734	ADAMTS1	4014.653529	3630.237409	4362.184301	3916.768705	4354.301973	2825.637479
ENSG00000154736	ADAMTS5	716.190686	530.954893	359.593903	203.261535	304.108421	498.277968
ENSG00000155304	HSPA13	1242.246847	880.781135	835.21754	741.197702	1515.563571	841.276431
ENSG00000155307	SAMSN1	13339.466137	17688.97619	18475.302559	17570.798604	16536.597507	14549.427543
ENSG00000155313	USP25	5386.954437	5132.65996	4081.150344	4472.257601	4910.975302	5585.352997
ENSG00000156239	N6AMT1	1308.151069	1976.018862	1260.442494	986.172194	1179.946044	1490.091307
ENSG00000156253	RWDD2B	3408.323035	3485.548329	3501.772573	4014.483847	3546.454025	3429.087418
ENSG00000156256	USP16	2440.347704	2611.923167	2994.275706	3165.133883	2951.751977	1924.520431
ENSG00000156261	CCT8	8657.683587	7064.165868	6854.833106	8109.763536	6545.96377	6184.783698
ENSG00000156265	MAP3K7CL	7186.089371	7529.797408	7881.869907	8557.854498	8886.993588	9336.996221
ENSG00000156273	BACH1	15468.312936	15735.908248	13432.871367	15626.107409	16746.978589	17465.489379
ENSG00000156282	CLDN17	263.378842	435.55171	530.190265	374.919168	831.595234	244.361093
ENSG00000156284	CLDN8	316.644104	352.152223	476.950608	561.708507	373.523526	330.496149
ENSG00000156299	TIAM1	3666.99559	3644.223423	4084.220862	4149.416489	2958.698135	3294.757778
ENSG00000156304	SCAF4	2731.398699	3049.086692	2403.704883	2231.232036	1929.864325	2834.069589
ENSG00000157538	VPS26C	9155.06739	9891.80861	8597.927643	9338.975349	9062.808984	7495.626693
ENSG00000157540	DYRK1A	12388.883299	11798.60617	10731.48318	12032.212826	12294.880097	11754.450072
ENSG00000157542	KCNJ6	569.060901	981.172401	790.535979	720.87783	601.002163	895.222371
ENSG00000157551	KCNJ15	16640.968509	17195.33006	13688.627335	15875.445483	13962.339466	12292.637954
ENSG00000157554	ERG	7084.833977	8589.885597	6513.627473	7978.767732	7533.995649	6796.256474
ENSG00000157557	ETS2	2512.876447	2252.557841	2124.806868	1414.108389	1550.983675	1404.708412
ENSG00000157578	LCA5L	12143.574094	12666.654283	12073.588576	10050.020797	12362.214867	10794.01265
ENSG00000157601	MX1	14511.134752	10233.406118	12758.724726	11632.940933	11217.03365	11515.420003
ENSG00000157617	C2CD2	4337.449437	5722.821584	4985.845734	4382.285852	3273.045943	4581.445658
ENSG00000159055	MIS18A	1418.868601	2226.557779	1716.299748	1093.426162	1289.805163	2350.038561
ENSG00000159079	CFAP298	4655.542569	3082.622367	4152.628375	4417.496156	2724.892106	3368.373857
ENSG00000159082	SYNJ1	5124.574802	6247.133089	4028.422592	5063.136165	5675.392265	6007.967969
ENSG00000159086	PAXBP1	4968.434563	4828.86185	5880.759672	3969.957894	4343.592111	5193.004209
ENSG00000159110	IFNAR2	5379.570409	5062.353865	6780.528417	4399.660291	4855.838998	4890.761842
ENSG00000159128	IFNGR2	3276.402672	2394.840623	2558.343974	2830.748048	3469.454936	2869.351614
ENSG00000159131	GART	9356.186487	10048.329313	11285.438898	10028.856905	9048.734348	10722.314858
ENSG00000159140	SON	12625.381772	15662.148141	12904.067474	14002.457409	12424.488002	10950.809959
ENSG00000159147	DONSON	6634.024769	5782.914649	5898.182577	6149.288755	6594.574046	5672.018163
ENSG00000159197	KCNE2	547.6919	541.401769	411.753263	518.134207	516.852298	338.765705
ENSG00000159200	RCAN1	8246.001261	8895.747192	9845.869073	8151.969353	7855.674681	6767.996252
ENSG00000159212	CLIC6	595.592152	883.498267	598.107476	1233.925603	843.882898	967.383382
