TXNAME	GENEID
ENST00000624081	ENSG00000279493
ENST00000612610	ENSG00000277117
ENST00000620481	ENSG00000277117
ENST00000623960	ENSG00000277117
ENST00000623903	ENSG00000277117
ENST00000623795	ENSG00000277117
ENST00000624810	ENSG00000280071
ENST00000625036	ENSG00000280071
ENST00000620015	ENSG00000280071
ENST00000620528	ENSG00000280071
ENST00000624120	ENSG00000280071
ENST00000624748	ENSG00000280071
ENST00000624648	ENSG00000280071
ENST00000623810	ENSG00000280071
ENST00000624714	ENSG00000280071
ENST00000623390	ENSG00000280071
ENST00000622915	ENSG00000280071
ENST00000623476	ENSG00000276612
ENST00000617716	ENSG00000275464
ENST00000632537	ENSG00000275464
ENST00000623011	ENSG00000275464
ENST00000624312	ENSG00000275464
ENST00000633442	ENSG00000275464
ENST00000633593	ENSG00000275464
ENST00000634020	ENSG00000275464
ENST00000634021	ENSG00000275464
ENST00000623998	ENSG00000280433
ENST00000623744	ENSG00000280433
ENST00000464664	ENSG00000274559
ENST00000613488	ENSG00000275993
ENST00000624077	ENSG00000275993
ENST00000624691	ENSG00000274276
ENST00000624406	ENSG00000274276
ENST00000398168	ENSG00000274276
ENST00000618024	ENSG00000274276
ENST00000617706	ENSG00000274276
ENST00000624934	ENSG00000274276
ENST00000622914	ENSG00000274276
ENST00000624808	ENSG00000274276
ENST00000623939	ENSG00000274276
ENST00000624921	ENSG00000274276
ENST00000637320	ENSG00000275895
ENST00000623375	ENSG00000275895
ENST00000610664	ENSG00000275895
ENST00000639996	ENSG00000275895
ENST00000620065	ENSG00000275895
ENST00000636923	ENSG00000275895
ENST00000624739	ENSG00000275895
ENST00000619610	ENSG00000275895
ENST00000636315	ENSG00000275895
ENST00000637031	ENSG00000275895
ENST00000636177	ENSG00000275895
ENST00000636403	ENSG00000275895
ENST00000619537	ENSG00000276076
ENST00000624019	ENSG00000276076
ENST00000624901	ENSG00000276076
ENST00000624932	ENSG00000276076
ENST00000624534	ENSG00000273590
ENST00000622934	ENSG00000273590
ENST00000619874	ENSG00000273590
ENST00000612624	ENSG00000273590
ENST00000624304	ENSG00000273590
ENST00000624758	ENSG00000273590
ENST00000623661	ENSG00000273590
ENST00000613894	ENSG00000277277
ENST00000646133	ENSG00000278961
ENST00000643357	ENSG00000278961
ENST00000624951	ENSG00000278961
ENST00000622690	ENSG00000276289
ENST00000618699	ENSG00000276289
ENST00000623803	ENSG00000276289
ENST00000617668	ENSG00000276289
ENST00000622113	ENSG00000274391
ENST00000612957	ENSG00000274391
ENST00000618007	ENSG00000274391
ENST00000427445	ENSG00000274391
ENST00000612746	ENSG00000274391
ENST00000620442	ENSG00000166351
ENST00000299443	ENSG00000166351
ENST00000344577	ENSG00000188992
ENST00000536861	ENSG00000188992
ENST00000614229	ENSG00000188992
ENST00000400211	ENSG00000188992
ENST00000468643	ENSG00000185272
ENST00000468788	ENSG00000185272
ENST00000495055	ENSG00000185272
ENST00000461088	ENSG00000185272
ENST00000400577	ENSG00000185272
ENST00000475864	ENSG00000185272
ENST00000285667	ENSG00000155304
ENST00000478035	ENSG00000155304
ENST00000400564	ENSG00000155307
ENST00000400566	ENSG00000155307
ENST00000644288	ENSG00000155307
ENST00000647101	ENSG00000155307
ENST00000619120	ENSG00000155307
ENST00000285670	ENSG00000155307
ENST00000463807	ENSG00000155307
ENST00000493640	ENSG00000155307
ENST00000435732	ENSG00000155307
ENST00000400562	ENSG00000155307
ENST00000469393	ENSG00000155307
ENST00000467280	ENSG00000155307
ENST00000318948	ENSG00000180530
ENST00000400199	ENSG00000180530
ENST00000400202	ENSG00000180530
ENST00000411932	ENSG00000180530
ENST00000638122	ENSG00000180530
ENST00000637963	ENSG00000180530
ENST00000637630	ENSG00000180530
ENST00000285679	ENSG00000155313
ENST00000351097	ENSG00000155313
ENST00000285681	ENSG00000155313
ENST00000400183	ENSG00000155313
ENST00000547201	ENSG00000155313
ENST00000549362	ENSG00000155313
ENST00000464435	ENSG00000155313
ENST00000453553	ENSG00000155313
ENST00000449491	ENSG00000155313
ENST00000478932	ENSG00000155313
ENST00000284878	ENSG00000154639
ENST00000400166	ENSG00000154639
ENST00000356275	ENSG00000154639
ENST00000400165	ENSG00000154639
ENST00000400169	ENSG00000154639
ENST00000339775	ENSG00000154640
ENST00000348354	ENSG00000154640
ENST00000471860	ENSG00000154640
ENST00000496601	ENSG00000154640
ENST00000464058	ENSG00000154640
ENST00000457956	ENSG00000154640
ENST00000284881	ENSG00000154642
ENST00000400559	ENSG00000154642
ENST00000400558	ENSG00000154642
ENST00000405964	ENSG00000154642
ENST00000493464	ENSG00000154642
ENST00000482915	ENSG00000154642
ENST00000400128	ENSG00000154645
ENST00000400131	ENSG00000154645
ENST00000400135	ENSG00000154645
ENST00000400127	ENSG00000154645
ENST00000299295	ENSG00000154645
ENST00000543733	ENSG00000154645
ENST00000338326	ENSG00000154645
ENST00000284885	ENSG00000154646
ENST00000422787	ENSG00000154646
ENST00000474775	ENSG00000154646
ENST00000400546	ENSG00000154654
ENST00000486367	ENSG00000154654
ENST00000284894	ENSG00000154654
ENST00000461281	ENSG00000154654
ENST00000484983	ENSG00000154654
ENST00000352957	ENSG00000154719
ENST00000307301	ENSG00000154719
ENST00000419219	ENSG00000154719
ENST00000400532	ENSG00000154721
