gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000141956	PRDM15	18913.5362093834	20462.7165982838	20100.7374838481	18748.999176422	17599.8602470002	19353.323869719
ENSG00000141959	PFKL	9546.01340522791	8922.60200691813	9019.86630675012	11338.5540824994	46163.0960063398	9578.56701390124
ENSG00000142149	HUNK	2197.18043340494	2918.89614127859	3655.48764153823	3204.45753709819	2009.84250770245	3257.80374051066
ENSG00000142156	COL6A1	5183.26173001114	3566.9689191042	3523.92261900351	3444.85850366685	5107.31080945847	4546.40844115871
ENSG00000142166	IFNAR1	1943.10428108188	3711.14686772633	2366.96897610839	2036.29619820681	2335.19664360991	2601.34640682647
ENSG00000142168	SOD1	1859.1933000574	1612.27941800095	1582.9712872914	5849.69219697626	7403.06961792813	11581.1174488003
ENSG00000142173	COL6A2	5597.08181328588	5513.93502652696	5384.83484189305	5119.19497163439	4785.40283889303	6084.15756756688
ENSG00000142178	SIK1	3107.91305884617	3896.2970810005	2257.16069684972	2987.93559111611	2432.64055664305	2935.0080191475
ENSG00000142182	DNMT3L	974.821761566557	1691.97584872168	1675.04004351351	1346.19698027567	1371.78462553207	1576.0911062345
ENSG00000142185	TRPM2	11952.3846229671	10194.1688271227	10996.1797957667	10048.2042626662	9175.97758240701	10304.8445234855
ENSG00000142188	TMEM50B	4002.12422993279	3823.60119760467	4051.59298225835	4302.81335809302	3862.77325353316	2696.72903352305
ENSG00000142192	APP	8068.3649780689	10857.6559925741	12061.4044399704	11690.3801255366	10166.2632514646	11505.7226229719
ENSG00000142197	DOP1B	4212.79788247267	4404.4151014348	5108.7491831512	3097.19029401177	2728.39081168274	5335.37417391952
ENSG00000142207	URB1	5079.66379981774	5117.16441910383	3806.61039350528	5856.18618217407	4225.96836797622	4053.5000424811
ENSG00000154639	CXADR	2455.69097963522	4094.17628194065	3050.68651291983	4902.63575506777	1828.05762164642	4031.07968779815
ENSG00000154640	BTG3	1734.01383351918	2181.06835993853	1464.43551027191	1936.47028630029	1632.6093193144	2005.04815285389
ENSG00000154642	C21orf91	3823.52024778854	3880.72080773578	3863.5712559169	4506.4345131488	3223.09203761277	3169.92432619275
ENSG00000154645	CHODL	5973.73835401103	5121.33664337745	4934.61720096073	5908.01714387883	4967.22919104159	5938.5283109038
ENSG00000154646	TMPRSS15	1541.00373799216	1635.78461467418	1189.69083316828	1363.55096196298	2712.39456772478	2337.24160365068
ENSG00000154654	NCAM2	5462.55088245422	4327.41669773251	5258.5744428347	5734.29976970165	4112.6534497789	4851.51157338355
ENSG00000154719	MRPL39	964.915841710309	823.936394828273	1260.67801498609	11047.6341818587	7708.55486646703	14634.2469385322
ENSG00000154721	JAM2	4439.7126951787	4732.89732154263	4237.92563924982	4234.4776942412	4354.94547529756	3882.03725103503
ENSG00000154723	ATP5PF	1732.34540858892	2158.01450853817	1974.500218481	1925.78627165582	1888.73171745997	2185.10998556067
ENSG00000154727	GABPA	5217.11146993906	3801.2926492868	2293.70023277843	2158.37622452172	4798.57830694365	3756.08283462329
ENSG00000154734	ADAMTS1	4785.88171286787	4349.89522220771	5166.39397120311	5056.46573976419	5300.35357442252	3599.05892770948
ENSG00000154736	ADAMTS5	5410.88397802605	4032.06067762947	2699.11565084762	1663.02970762436	2346.06697879679	4022.25743609247
ENSG00000155304	HSPA13	1558.35951748746	1110.59991899319	1040.94787197412	1006.92951756467	1941.36108531819	1127.60528356747
ENSG00000155307	SAMSN1	4588.66547668572	6116.18375704312	6314.06617452531	6545.52827500764	5808.53368841588	5347.52077631683
ENSG00000155313	USP25	7711.24576620351	7385.05296403166	5804.08090142423	6932.87399128398	7178.29661798432	8542.60831330631
ENSG00000156239	N6AMT1	3801.76530725278	5772.29299562011	3639.31845758283	3103.740542426	3501.56311550417	4626.99371356908
ENSG00000156253	RWDD2B	3293.26598184019	3385.22115258685	3361.58127662343	4200.69380691917	3499.07136405974	3540.16285261121
ENSG00000156256	USP16	4741.35058116533	5100.82748299684	5779.78610706153	6659.59314527249	5856.02105437223	3995.1354738492
ENSG00000156261	CCT8	5337.92229145264	4377.85430609448	4198.91462114462	5414.81947407289	4121.13216274752	4074.30632957583
ENSG00000156265	MAP3K7CL	6009.78787852357	6329.65004841288	6548.85557234232	7750.62421684092	7589.16165445052	8343.19391912003
ENSG00000156273	BACH1	5294.76711771163	5414.09169479596	4568.17139870784	5792.41903468582	5853.4617679311	6387.6821561127
ENSG00000156282	CLDN17	213.095704072352	354.212116173754	426.182076297359	328.501009625005	687.033968245244	211.244054881569
ENSG00000156284	CLDN8	493.896502437131	552.109039691851	739.107437609558	948.813378108761	594.914991578482	550.794473271201
ENSG00000156299	TIAM1	8227.21534244628	8218.2122043874	9103.77084653166	10081.7229566309	6778.21816000356	7898.13576258724
ENSG00000156304	SCAF4	5889.19495527348	6608.00684751789	5148.9846818345	5209.79726525761	4248.83649397689	6528.89927620572
ENSG00000157538	VPS26C	6965.85238031636	7565.16326137471	6499.44283114296	7695.15201570335	7041.22067099578	6093.67511280615
ENSG00000157540	DYRK1A	27316.8330246927	26149.221850402	23508.6427449971	28730.8810773009	27681.8359972464	27692.3063364251
ENSG00000157542	KCNJ6	5349.34127760084	9270.79037258519	7382.99917817131	7338.51998842257	5768.86002400298	8991.47851124828
