gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000141956	PRDM15	8649.62607881686	9188.44399949085	8946.48188563843	8278.46064672826	7983.55122733206	8573.50471389519
ENSG00000141959	PFKL	5437.65347178066	4990.39697941274	5000.40620216029	6235.82708538644	26082.3497575988	5285.28314076574
ENSG00000142149	HUNK	1721.98671536019	2246.13989347663	2788.20749846493	2424.74177760033	1562.38622004667	2473.2454558218
ENSG00000142156	COL6A1	5186.1458690944	3504.24932955883	3431.49720085983	3327.82038097416	5068.6951918122	4406.44411384561
ENSG00000142166	IFNAR1	5224.92019002846	9798.18825349577	6194.29400937137	5286.53854753682	6228.29692919144	6775.79049669021
ENSG00000142168	SOD1	2972.17913498598	2530.7242723504	2462.85685044725	9028.80660256454	11738.823363037	17934.0811166429
ENSG00000142173	COL6A2	5115.23253452029	4947.88338704405	4789.51801047809	4517.02294967784	4337.94985907933	5386.19915390107
ENSG00000142178	SIK1	7826.05229130037	9633.40973422117	5531.61646405517	7264.27063927753	6075.9490849989	7159.14905559161
ENSG00000142182	DNMT3L	1314.41762413284	2240.04324536613	2198.10811062827	1752.52277442321	1834.66336080221	2058.57978946542
ENSG00000142185	TRPM2	4271.77196496834	3577.33332230481	3824.82025317252	3467.27953652785	3252.88076045158	3567.57550257866
ENSG00000142188	TMEM50B	7117.1195986207	6676.36962476312	7012.21471402189	7387.76559142397	6813.57770165673	4645.46548528046
ENSG00000142192	APP	7824.7490669588	10338.9169351785	11384.0936762042	10946.1253396939	9779.31721340488	10808.7883208041
ENSG00000142197	DOP1B	2529.17249479578	2596.27179196578	2984.95717672409	1795.24041514633	1624.71318094436	3102.77967046111
ENSG00000142207	URB1	2132.63210847166	2109.42666193345	1555.37495086662	2373.79248327211	1759.82513039924	1648.50164406455
ENSG00000154639	CXADR	4541.46421470939	7434.34659962618	5490.7979205361	8753.84212987037	3353.31507399849	7221.40651361138
ENSG00000154640	BTG3	4017.96902219418	4962.23570156834	3302.47831476267	4332.23258030271	3752.30901124055	4500.46161214407
ENSG00000154642	C21orf91	3525.50432186911	3513.37366297595	3467.06896436088	4011.78658499844	2947.76503499357	2831.29407474143
ENSG00000154645	CHODL	3659.61459371768	3080.53795127279	2942.10602378097	3494.44171590777	3018.32257431787	3524.08369030443
ENSG00000154646	TMPRSS15	1864.19734064086	1942.98029505729	1400.67702217782	1592.59910173197	3254.64299019709	2738.86123108311
ENSG00000154654	NCAM2	4346.22434925984	3380.64405619372	4071.93061038503	4404.97997315741	3245.64532460184	3739.14188632221
ENSG00000154719	MRPL39	1371.0994167125	1149.54845351751	1743.40940996328	15156.3873174456	10864.6258830558	20143.1838633923
ENSG00000154721	JAM2	5018.37817913926	5252.78575022572	4662.05667194099	4621.20536968928	4882.62690791423	4250.56288954055
ENSG00000154723	ATP5PF	4473.1133382036	5471.21596829099	4961.90329812132	4800.98556089181	4837.35527938611	5465.46280418914
ENSG00000154727	GABPA	2057.62877889304	1472.04911472951	880.418713770161	821.884818260857	1877.2053992654	1434.99470717191
ENSG00000154734	ADAMTS1	4018.82073134987	3586.48942519799	4222.21059663294	4099.4976605514	4414.72660404887	2927.54688644509
ENSG00000154736	ADAMTS5	716.934090502554	524.556356639548	348.055259238621	212.744292546268	308.328532340858	516.248855220747
ENSG00000155304	HSPA13	1243.53629674767	870.166843292365	808.417092114444	775.776788013087	1536.5950406079	871.617896675588
ENSG00000155307	SAMSN1	13353.3124762247	17475.8063730851	17882.4673278309	18390.5288252445	16766.075804408	15074.1670223536
ENSG00000155313	USP25	5392.54608495327	5070.80628502144	3950.19445302638	4680.90177223849	4979.12488660702	5786.79427123501
ENSG00000156239	N6AMT1	1309.50892719856	1952.2058626207	1219.99743417381	1032.18007155821	1196.32015052921	1543.83292221569
ENSG00000156253	RWDD2B	3411.86086750733	3443.54399301355	3389.40774724484	4201.77150570291	3595.66815330832	3552.76084371117
ENSG00000156256	USP16	2442.88078004583	2580.44688610478	2898.19543209479	3312.7968297251	2992.71342736884	1993.93016179413
ENSG00000156261	CCT8	8666.67024528261	6979.03561916234	6634.87532419679	8488.10822069134	6636.80208303253	6407.84403271156
ENSG00000156265	MAP3K7CL	7193.54851742369	7439.05583439908	7628.95658374378	8957.10396406732	9010.31836244567	9673.74421477872
ENSG00000156273	BACH1	15484.3690139529	15546.2748489731	13001.8375922248	16355.1119791539	16979.3763438407	18095.3995095743
ENSG00000156282	CLDN17	263.652228712293	430.302877208299	513.177527735692	392.410266695051	843.135277733308	253.174217250843
ENSG00000156284	CLDN8	316.972779947932	347.908437260409	461.646224050295	587.913886111976	378.706910475072	342.415819147989
ENSG00000156299	TIAM1	3670.80192410311	3600.30689377107	3953.1664442909	4342.9991583608	2999.7559771756	3413.58647252522
ENSG00000156304	SCAF4	2734.2338853977	3012.34215433372	2326.57483679779	2335.32567293359	1956.6450445127	2936.28310882327
ENSG00000157538	VPS26C	9164.57033167734	9772.60244409746	8322.03746986019	9774.66643519169	9188.57354799217	7765.96387545541
ENSG00000157540	DYRK1A	12401.7429351362	11656.421190491	10387.1315088171	12593.5514824952	12465.4960988892	12178.3859273895
ENSG00000157542	KCNJ6	569.651585079395	969.348294345292	765.16927237307	754.508933309191	609.342267610114	927.509450300948
ENSG00000157551	KCNJ15	16658.241801097	16988.1091716168	13249.3868665629	16616.0824188289	14156.0947948779	12735.9840870901
ENSG00000157554	ERG	7092.18802052683	8486.36890274	6304.61829242644	8351.00107128155	7638.54487646228	7041.3701785207
ENSG00000157557	ETS2	2515.4848077363	2225.41227093429	2056.6260971164	1480.08076787154	1572.50666924932	1455.37060874816
ENSG00000157578	LCA5L	12156.179099671	12514.0084574062	11686.1714470174	10518.8842765211	12533.7652732229	11183.309380841
ENSG00000157601	MX1	14526.1972809084	10110.0833612074	12349.3229585212	12175.6523634617	11372.6923810588	11930.7350027863
ENSG00000157617	C2CD2	4341.95170085808	5653.85587246336	4825.85999093301	4586.73257249218	3318.46598844887	4746.68002218104
ENSG00000159055	MIS18A	1420.34138377578	2199.72553562979	1661.22714745061	1144.43775742553	1307.70378408381	2434.79502356978
ENSG00000159079	CFAP298	4660.37501289418	3045.47369098094	4019.37889804066	4623.58554231168	2762.70542284711	3489.85758814795
ENSG00000159082	SYNJ1	5129.89410041585	6171.84890055849	3899.15862834103	5299.34658561124	5754.14966074257	6224.65126974903
ENSG00000159086	PAXBP1	4973.59178815942	4770.66924544136	5692.05794392456	4155.16828404106	4403.86812133677	5380.29503655031
ENSG00000159110	IFNAR2	5385.15439234694	5001.34744863258	6562.95492294199	4604.91758095157	4923.22345633712	5067.15199996524
ENSG00000159128	IFNGR2	3279.80357143385	2365.98040341115	2476.25187096716	2962.81089704695	3517.6005482585	2972.83761491398
ENSG00000159131	GART	9365.8981898986	9927.23691641664	10923.3119040536	10496.733025764	9174.30359832474	11109.0257371342
ENSG00000159140	SON	12638.4868930791	15473.403624876	12490.0019506052	14655.7138584384	12596.902572268	11345.7617397077
ENSG00000159147	DONSON	6640.91087346874	5713.22475605646	5708.92178301047	6436.1714371841	6686.08692363799	5876.58510207306
ENSG00000159197	KCNE2	548.260403099009	534.877337357631	398.540930477937	542.306714904208	524.024655270365	350.983624855553
ENSG00000159200	RCAN1	8254.56059384993	8788.54456026645	9529.93497398797	8532.28306508087	7964.68784710165	7012.09072369282
ENSG00000159212	CLIC6	596.210375464977	872.851231140032	578.915412288671	1291.49191687922	855.593457597448	1002.27301945864
ENSG00000159216	RUNX1	16000.9925881381	13909.1491221045	14426.9867955722	18880.1511641595	20707.1128811386	16500.0069789669
ENSG00000159228	CBR1	2541.58097441733	4078.77314236598	2698.40807619013	2408.22132209045	2371.76467205692	2496.02416641119
ENSG00000159231	CBR3	353.974213536662	648.741931489444	430.837196479757	526.454960753814	508.700309012792	638.539605925112
ENSG00000159256	MORC3	5828.7172292696	5369.46611954298	7512.82129765561	6831.67254759912	7785.84745986408	7708.47558976869
ENSG00000159259	CHAF1B	1448.67392440145	1960.36337728908	1377.83364528294	1315.41454094296	1446.25800816041	1933.82198536812
ENSG00000159261	CLDN14	3209.84736732907	2451.15567281238	2477.75042622572	3233.81501591306	4118.94093057886	2340.24647203605
ENSG00000159263	SIM2	2013.75402320761	2440.08565385972	2613.60528191263	2514.23781306231	2198.5463716633	2558.35375327291
ENSG00000159267	HLCS	4118.81017357042	4153.10960647128	3977.51088624019	3392.89594141308	3034.41003334627	3033.15660901117
